,state_code,country,population,top,counts,cuisine_names
192,MD,China,43664,top3,433.0,China
193,MD,Mexico,37005,top4,231.0,"Mexico, Taco, Tex-Mex"
194,MD,Philippines,36218,top5,2.0,Philippines
195,MD,Nigeria,35590,top6,19.0,Nigeria
196,MD,Korea,35106,top7,53.0,Korea
197,MD,Guatemala,34922,top8,319.0,Guatemala
198,MD,Jamaica,26583,top9,6.0,Jamaica
199,MD,Ethiopia,24001,top10,5.0,Ethiopia
200,ME,Canada,9622,top1,0.0,Canada
201,ME,China,2723,top2,87.0,China
202,ME,Other Eastern Africa,2252,top3,4.0,Other Eastern Africa
203,ME,Germany,2041,top4,6.0,Germany
204,ME,Philippines,2010,top5,2.0,Philippines
205,ME,Other Middle Africa,1615,top6,4.0,Other Middle Africa
206,ME,England,1318,top8,0.0,England
207,ME,India,1318,top7,10.0,India
208,ME,Somalia,1318,top9,4.0,Somalia
209,ME,Vietnam,1271,top10,1.0,Vietnam
210,MI,Mexico,83598,top1,658.0,"Mexico, Taco, Tex-Mex"
211,MI,India,71810,top2,96.0,India
212,MI,Iraq,56590,top3,325.0,Iraq
213,MI,China,37714,top4,763.0,China
214,MI,Canada,35976,top5,1.0,Canada
215,MI,Lebanon,20398,top6,20.0,Lebanon
216,MI,Philippines,19972,top7,4.0,Philippines
217,MI,Korea,19815,top8,69.0,Korea
218,MI,Germany,18629,top9,26.0,Germany
219,MI,Yemen,16576,top10,325.0,Yemen
220,MN,Mexico,64492,top1,63.0,"Mexico, Taco, Tex-Mex"
221,MN,Somalia,33463,top2,2.0,Somalia
222,MN,India,30163,top3,9.0,India
223,MN,Laos,24413,top4,0.0,Laos
224,MN,Ethiopia,21900,top5,0.0,Ethiopia
225,MN,Vietnam,18649,top6,10.0,Vietnam
226,MN,China,18562,top7,83.0,China
227,MN,Thailand,18549,top8,9.0,Thailand
228,MN,Korea,13462,top9,1.0,Korea
229,MN,Kenya,13178,top10,2.0,Other Middle Africa
230,MO,Mexico,43580,top1,587.0,"Mexico, Taco, Tex-Mex"
231,MO,India,19703,top2,56.0,India
232,MO,China,16861,top3,640.0,China
233,MO,Vietnam,11667,top4,49.0,Vietnam
234,MO,Philippines,9822,top5,3.0,Philippines
235,MO,Bosnia and Herzegovina,9211,top6,16.0,Bosnia and Herzegovina
236,MO,Germany,7825,top7,18.0,Germany
237,MO,Korea,7635,top8,38.0,Korea
238,MO,Guatemala,5560,top9,613.0,Guatemala
239,MO,Canada,5381,top10,0.0,Canada
240,MS,Mexico,23319,top1,108.0,"Mexico, Taco, Tex-Mex"
241,MS,India,4436,top2,8.0,India
242,MS,Vietnam,4199,top3,14.0,Vietnam
243,MS,Philippines,3511,top4,1.0,Philippines
244,MS,Guatemala,3016,top5,113.0,Guatemala
245,MS,China,2831,top6,76.0,China
246,MS,Honduras,2411,top7,1.0,South America
247,MS,Germany,2034,top8,0.0,Germany
248,MS,Canada,1656,top9,0.0,Canada
249,MS,Korea,962,top10,4.0,Korea
250,MT,Canada,3853,top1,0.0,Canada
251,MT,Mexico,2564,top2,57.0,"Mexico, Taco, Tex-Mex"
252,MT,Germany,1929,top3,1.0,Germany
253,MT,Philippines,1362,top4,0.0,Philippines
254,MT,China,1313,top5,29.0,China
255,MT,Korea,827,top6,3.0,Korea
256,MT,England,658,top7,0.0,England
257,MT,"United Kingdom, excluding England and Scotland",602,top8,1.0,United Kingdom
258,MT,Japan,535,top9,17.0,"Japan, Sushi, Teriyaki, Ramen"
259,MT,Russia,364,top10,0.0,Russia
260,NC,Mexico,235756,top1,565.0,"Mexico, Taco, Tex-Mex"
261,NC,India,66430,top2,54.0,India
262,NC,Honduras,32547,top3,17.0,South America
263,NC,El Salvador,30618,top4,1.0,El Salvador
264,NC,China,26451,top5,529.0,China
265,NC,Vietnam,23814,top6,46.0,Vietnam
266,NC,Canada,18952,top7,0.0,Canada
267,NC,Guatemala,18946,top8,613.0,Guatemala
268,NC,Philippines,17509,top9,1.0,Philippines
269,NC,Germany,16100,top10,14.0,Germany
270,ND,Canada,2629,top1,1.0,Canada
271,ND,Mexico,2397,top2,51.0,"Mexico, Taco, Tex-Mex"
272,ND,Philippines,2074,top3,0.0,Philippines
273,ND,Liberia,1366,top4,3.0,Liberia
274,ND,India,1363,top5,4.0,India
275,ND,China,1240,top6,28.0,China
276,ND,Other South Central Asia,1089,top7,3.0,Other South Central Asia
277,ND,Somalia,1035,top8,3.0,Somalia
278,ND,Nepal,995,top9,2.0,Nepal
279,ND,Other Eastern Africa,930,top10,3.0,Other Eastern Africa
280,NE,Mexico,47642,top1,309.0,"Mexico, Taco, Tex-Mex"
281,NE,Guatemala,8901,top2,280.0,Guatemala
282,NE,India,6496,top3,14.0,India
283,NE,Vietnam,5875,top4,23.0,Vietnam
284,NE,El Salvador,4725,top5,7.0,El Salvador
285,NE,China,4196,top6,156.0,China
286,NE,Burma,3950,top7,0.0,Burma
287,NE,Cuba,3413,top8,1.0,Cuba
288,NE,Philippines,2400,top9,0.0,Philippines
289,NE,Korea,2394,top10,13.0,Korea
290,NH,Canada,8637,top1,0.0,Canada
291,NH,India,7905,top2,23.0,India
292,NH,China,4950,top3,212.0,China
293,NH,Dominican Republic,3734,top4,0.0,Dominican Republic
294,NH,Philippines,2474,top5,0.0,Philippines
295,NH,Germany,2259,top6,3.0,Germany
296,NH,Nepal,2242,top7,0.0,Nepal
297,NH,Mexico,2187,top8,75.0,"Mexico, Taco, Tex-Mex"
