"Label","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","West Virginia!!Estimate","Washington!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Idaho!!Estimate","Hawaii!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate"
"                Guatemala","7,558","3,016","5,560","125","8,901","13,493","1,070","43,819","2,209","62,085","18,946","222","8,692","7,209","5,822","12,959","13,136","7,713","1,266","12,504","73,876","5,187","118","30,780","478","11,885","2,396","756","","11,611","193","13,682","4,741","276,542","6,383","15,455","4,652","3,303","80,751","33,173","767","893","26,126","6,657","5,015","5,937","6,375","6,968","278","34,922","29,658","7,610"
"                Honduras","3,285","2,411","3,593","126","1,528","3,964","758","32,518","753","53,777","32,547","64","3,474","3,843","823","7,906","1,004","7,647","190","11,431","111,466","2,312","135","34,352","264","4,394","2,163","30","","3,344","196","3,772","2,589","60,441","4,775","6,999","417","1,670","101,324","19,083","229","75","10,648","5,562","2,003","2,902","2,815","29,600","63","23,063","11,918","2,063"
"                Nicaragua","778","241","646","174","273","3,661","74","4,961","314","10,505","3,850","40","889","173","587","1,989","139","1,162","64","788","17,654","523","34","4,684","78","2,133","1,528","15","","705","162","1,488","642","63,947","1,179","1,393","118","557","105,077","2,958","49","254","1,532","1,403","424","418","306","4,224","88","6,283","990","310"
"                Panama","547","256","742","76","199","1,301","181","3,554","437","18,970","3,915","52","1,005","369","423","2,208","266","1,155","32","1,019","9,574","224","13","4,389","54","981","436","6","","1,412","52","1,107","444","9,626","1,032","646","388","349","21,188","5,769","43","198","1,542","564","221","261","616","1,025","31","3,034","1,701","720"
"                Other Central America","45","51","65","0","16","64","0","123","78","912","343","0","60","0","175","240","52","1","1","179","817","16","0","61","0","62","0","0","","50","0","73","37","1,727","99","61","0","137","601","61","11","8","581","30","32","42","74","303","0","89","1,156","27"
"            South America:","21,252","2,405","8,777","1,075","3,583","18,779","5,052","311,102","4,296","585,267","49,008","1,029","18,805","7,281","10,045","55,533","12,009","19,983","734","13,216","159,614","28,460","1,285","95,588","1,525","23,093","9,820","703","","6,899","2,247","20,435","4,486","262,155","21,226","79,734","4,718","9,857","795,351","68,410","4,209","3,712","59,756","10,560","3,908","6,551","6,019","10,233","1,524","68,536","127,575","14,303"
"                Argentina","707","140","781","107","212","1,982","148","10,573","354","20,731","3,688","16","1,195","362","887","3,832","280","873","135","1,307","11,110","3,972","58","4,877","145","1,970","1,128","26","","289","159","2,272","289","33,205","2,216","3,031","326","1,036","55,745","2,894","357","448","4,593","870","303","440","437","575","150","3,764","3,801","1,545"
"                Bolivia","206","7","293","2","44","488","81","2,711","305","4,077","420","18","330","236","425","645","2,073","733","39","366","4,880","826","35","26,870","54","481","324","8","","90","44","595","707","9,322","562","295","8","384","10,651","485","33","48","1,650","160","73","115","190","265","20","5,546","1,149","429"
"                Brazil","2,354","444","1,953","129","805","3,054","1,816","29,646","745","24,424","6,236","224","3,454","1,062","2,288","10,504","1,437","2,990","133","1,778","19,043","4,924","115","6,317","207","5,471","1,641","51","","1,176","148","2,387","646","41,285","2,506","16,884","542","1,541","88,398","11,631","556","1,056","6,529","2,226","906","1,464","960","2,365","412","8,848","69,386","4,356"
"                Chile","944","64","299","67","210","1,494","142","5,741","316","11,300","2,179","0","719","224","855","2,471","349","635","57","804","4,654","2,656","61","2,702","151","1,944","698","189","","471","99","1,594","317","15,994","1,465","2,093","193","649","21,715","1,626","297","178","1,671","585","221","329","243","291","106","3,027","2,807","563"
